Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arminia,1,34.0,52,5,0,6,1,52.1,0.29,+1.1,+0.03,488,1038,47.0,1720,116,51.1,43.4,246,64.6,51.6,338,28,8.3,34,1.00,15.3
Augsburg,1,34.0,55,6,0,4,3,51.9,0.27,+0.9,+0.03,256,653,39.2,1101,215,43.4,37.5,298,58.7,46.8,401,26,6.5,26,0.76,14.4
Bayern Munich,2,34.0,44,1,0,6,0,46.1,0.34,+2.1,+0.06,240,394,60.9,1158,191,30.4,31.9,194,21.6,29.0,238,6,2.5,42,1.24,16.3
Dortmund,2,34.0,46,6,0,7,1,41.2,0.28,-3.8,-0.11,186,382,48.7,947,175,29.7,32.2,232,43.5,39.2,213,16,7.5,13,0.38,13.8
Eint Frankfurt,2,34.0,53,4,1,7,2,45.5,0.28,-5.5,-0.16,261,658,39.7,1121,170,46.2,37.9,274,51.1,43.1,296,24,8.1,23,0.68,14.7
Freiburg,2,34.0,52,4,2,3,2,54.5,0.31,+4.5,+0.13,220,651,33.8,1164,158,36.9,37.3,299,74.2,58.0,277,13,4.7,24,0.71,14.9
Hertha BSC,2,34.0,52,7,1,5,1,47.0,0.30,-4.0,-0.12,234,512,45.7,909,148,37.6,36.0,293,58.0,46.7,303,21,6.9,16,0.47,13.5
Hoffenheim,2,34.0,54,6,1,4,2,53.0,0.33,+1.0,+0.03,202,484,41.7,1238,193,32.4,32.6,224,37.1,33.7,282,11,3.9,37,1.09,15.2
Köln,2,34.0,60,8,1,6,0,53.3,0.30,-6.7,-0.20,278,612,45.4,1128,121,45.0,39.0,221,47.1,40.6,279,9,3.2,23,0.68,14.0
Leverkusen,3,34.0,39,1,1,0,2,36.2,0.32,-0.8,-0.02,224,545,41.1,1404,219,33.7,33.9,208,34.6,32.9,243,25,10.3,36,1.06,16.1
M'Gladbach,2,34.0,56,6,0,7,0,50.2,0.32,-5.8,-0.17,217,476,45.6,1129,137,33.7,33.0,257,37.0,35.0,296,17,5.7,24,0.71,13.8
Mainz 05,2,34.0,56,6,1,5,1,49.9,0.29,-5.1,-0.15,175,527,33.2,891,212,42.6,39.1,276,53.3,45.5,328,29,8.8,21,0.62,13.8
RB Leipzig,2,34.0,32,3,0,3,0,26.5,0.30,-5.5,-0.16,140,288,48.6,1047,176,24.5,30.4,171,18.7,27.2,195,12,6.2,54,1.59,18.6
Schalke 04,3,34.0,86,7,1,18,5,71.8,0.29,-9.2,-0.27,188,575,32.7,981,187,40.1,36.1,303,60.1,45.0,319,16,5.0,28,0.82,14.5
Stuttgart,2,34.0,55,5,1,3,1,50.7,0.27,-3.3,-0.10,140,348,40.2,967,205,29.7,30.2,285,21.4,25.4,299,21,7.0,17,0.50,13.3
Union Berlin,2,34.0,43,4,0,8,2,42.8,0.31,+1.8,+0.05,232,566,41.0,997,115,41.9,37.9,236,62.7,45.5,267,18,6.7,11,0.32,13.2
Werder Bremen,1,34.0,57,4,0,7,3,47.4,0.28,-6.6,-0.19,242,521,46.4,865,165,42.7,37.6,283,53.7,43.4,360,21,5.8,22,0.65,14.1
Wolfsburg,2,34.0,37,3,1,5,1,38.1,0.31,+2.1,+0.06,251,567,44.3,1098,163,38.3,36.4,221,66.1,51.9,277,23,8.3,34,1.00,15.6
