Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arminia,2,34,34,3060,34.0,53,1.56,176,128,73.9,5,13,16,7,20.6,7,7,0,0,0.0
Augsburg,1,34,34,3060,34.0,56,1.65,152,100,66.4,10,8,16,9,26.5,5,5,0,0,0.0
Bayern Munich,3,34,34,3060,34.0,37,1.09,112,78,68.8,24,5,5,11,32.4,2,2,0,0,0.0
Bochum,2,34,34,3060,34.0,52,1.53,167,123,71.9,12,6,15,7,20.6,8,5,2,1,28.6
Dortmund,3,34,34,3060,34.0,52,1.53,128,84,64.1,22,3,9,7,20.6,6,6,0,0,0.0
Eint Frankfurt,3,34,34,3060,34.0,49,1.44,163,117,72.4,10,12,12,5,14.7,4,4,0,0,0.0
Freiburg,2,34,34,3060,34.0,46,1.35,152,108,71.1,15,10,9,10,29.4,2,2,0,0,0.0
Greuther Fürth,3,34,34,3060,34.0,82,2.41,182,107,58.2,3,9,22,6,17.6,6,6,0,0,0.0
Hertha BSC,2,34,34,3060,34.0,71,2.09,164,100,61.6,9,6,19,6,17.6,8,8,0,0,0.0
Hoffenheim,2,34,34,3060,34.0,60,1.76,161,104,64.0,13,7,14,8,23.5,4,2,1,1,33.3
Köln,2,34,34,3060,34.0,49,1.44,151,103,67.5,14,10,10,4,11.8,1,0,1,0,100.0
Leverkusen,3,34,34,3060,34.0,47,1.38,161,116,72.0,19,7,8,8,23.5,4,2,1,1,33.3
M'Gladbach,2,34,34,3060,34.0,61,1.79,178,118,67.4,11,9,13,4,11.8,5,3,2,0,40.0
Mainz 05,2,34,34,3060,34.0,45,1.32,119,80,66.4,13,7,14,10,29.4,6,5,1,0,16.7
RB Leipzig,3,34,34,3060,34.0,37,1.09,111,78,69.4,17,7,10,10,29.4,3,3,0,0,0.0
Stuttgart,2,34,34,3060,34.0,59,1.74,156,100,64.7,7,12,15,4,11.8,4,4,0,0,0.0
Union Berlin,2,34,34,3060,34.0,44,1.29,123,84,65.9,16,9,9,8,23.5,2,2,0,0,0.0
Wolfsburg,2,34,34,3060,34.0,54,1.59,147,97,66.0,12,6,16,11,32.4,7,4,2,1,33.3
