Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,30,38.0,105,4,4,687,577,111,372,466,410,3,10,2,3377,522,554,48.5
Athletic Club,26,38.0,93,0,0,598,555,107,541,459,394,7,6,3,3490,658,488,57.4
Atlético Madrid,26,38.0,93,5,3,604,567,110,352,423,498,3,4,0,3489,429,414,50.9
Barcelona,25,38.0,67,2,0,440,635,136,388,426,365,4,2,0,3074,301,248,54.8
Betis,29,38.0,90,3,1,508,562,63,385,437,350,1,1,4,3054,375,420,47.2
Celta Vigo,23,38.0,85,1,0,483,622,97,474,397,334,2,4,1,3441,490,454,51.9
Eibar,27,38.0,84,3,2,557,489,83,625,545,361,3,4,3,4248,666,659,50.3
Espanyol,25,38.0,87,1,1,602,606,80,471,458,395,3,6,2,3642,488,489,49.9
Getafe,32,38.0,130,5,4,791,542,109,384,442,417,11,3,0,3724,481,571,45.7
Girona,25,38.0,102,0,0,705,576,82,542,425,349,6,5,3,3561,557,496,52.9
La Coruña,32,38.0,99,2,1,580,473,96,571,410,399,5,5,2,3401,474,500,48.7
Las Palmas,36,38.0,88,3,1,555,737,81,408,419,384,5,3,1,3198,366,423,46.4
Leganés,28,38.0,102,5,3,667,557,103,474,558,453,2,7,0,3679,554,559,49.8
Levante,33,38.0,108,6,3,632,498,71,472,449,369,5,3,3,3184,418,502,45.4
Málaga,37,38.0,99,8,5,696,501,92,479,419,406,3,6,0,3598,467,545,46.1
Real Madrid,24,38.0,65,4,2,473,611,119,757,349,411,10,3,2,3085,317,276,53.5
Real Sociedad,27,38.0,60,5,4,470,623,92,578,412,315,5,7,1,3318,408,405,50.2
Sevilla,31,38.0,97,3,2,646,559,137,483,379,420,3,5,1,3570,452,433,51.1
Valencia,25,38.0,103,5,4,567,639,84,439,436,408,7,5,0,3231,462,431,51.7
Villarreal,32,38.0,113,6,4,659,542,113,419,407,387,5,6,0,3211,456,473,49.1
