Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Alavés,30,28.7,42.7,38,418,3420,38.0,35,21,30,5,8,96,8,0.92,0.55,1.47,0.79,1.34,42.4,36.5,25.5,62.0,1.12,0.67,1.79,0.96,1.63
Athletic Club,27,26.6,49.8,38,418,3420,38.0,43,31,39,4,5,82,3,1.13,0.82,1.95,1.03,1.84,44.4,40.7,31.1,71.8,1.17,0.82,1.99,1.07,1.89
Atlético Madrid,25,27.3,52.4,38,418,3420,38.0,65,54,60,5,7,100,0,1.71,1.42,3.13,1.58,3.00,52.4,46.8,37.8,84.6,1.38,0.99,2.37,1.23,2.23
Barcelona,25,26.4,65.8,38,418,3420,38.0,80,51,76,4,8,72,2,2.11,1.34,3.45,2.00,3.34,78.9,72.6,57.4,130.0,2.08,1.51,3.59,1.91,3.42
Betis,25,27.9,53.9,38,418,3420,38.0,50,35,42,8,11,93,8,1.32,0.92,2.24,1.11,2.03,46.0,37.8,29.9,67.7,1.21,0.79,2.00,1.00,1.78
Cádiz,34,28.8,34.3,38,418,3420,38.0,33,16,29,4,4,81,3,0.87,0.42,1.29,0.76,1.18,34.0,31.0,19.0,50.0,0.89,0.50,1.39,0.82,1.31
Celta Vigo,30,26.6,53.7,38,418,3420,38.0,55,39,48,7,7,109,5,1.45,1.03,2.47,1.26,2.29,47.7,42.4,33.2,75.6,1.25,0.87,2.13,1.11,1.99
Eibar,30,28.2,49.6,38,418,3420,38.0,29,20,25,4,9,71,3,0.76,0.53,1.29,0.66,1.18,41.5,34.7,26.2,60.8,1.09,0.69,1.78,0.91,1.60
Elche,30,28.1,47.6,38,418,3420,38.0,33,25,31,2,3,99,3,0.87,0.66,1.53,0.82,1.47,30.5,28.2,21.9,50.1,0.80,0.58,1.38,0.74,1.32
Getafe,31,26.7,42.8,38,418,3420,38.0,27,14,24,3,5,120,7,0.71,0.37,1.08,0.63,1.00,32.7,28.9,20.1,48.9,0.86,0.53,1.39,0.76,1.29
Granada,34,27.4,41.0,38,418,3420,38.0,46,30,43,3,5,97,6,1.21,0.79,2.00,1.13,1.92,39.5,35.9,23.8,59.6,1.04,0.63,1.67,0.94,1.57
Huesca,27,28.0,48.3,38,418,3420,38.0,32,23,29,3,4,69,2,0.84,0.61,1.45,0.76,1.37,35.3,32.5,23.8,56.2,0.93,0.63,1.55,0.85,1.48
Levante,29,28.0,52.4,38,418,3420,38.0,45,35,42,3,6,68,1,1.18,0.92,2.11,1.11,2.03,41.0,36.4,28.5,64.9,1.08,0.75,1.83,0.96,1.71
Osasuna,28,27.9,43.1,38,418,3420,38.0,36,25,31,5,6,80,5,0.95,0.66,1.61,0.82,1.47,37.6,33.2,23.4,56.7,0.99,0.62,1.61,0.87,1.49
Real Madrid,30,27.9,59.7,38,418,3420,38.0,64,53,61,3,3,59,2,1.68,1.39,3.08,1.61,3.00,61.5,59.2,46.0,105.3,1.62,1.21,2.83,1.56,2.77
Real Sociedad,30,25.0,55.1,38,418,3420,38.0,58,39,49,9,12,81,1,1.53,1.03,2.55,1.29,2.32,60.4,51.6,39.2,90.7,1.59,1.03,2.62,1.36,2.39
Sevilla,26,28.1,61.2,38,418,3420,38.0,52,36,46,6,7,79,2,1.37,0.95,2.32,1.21,2.16,50.9,45.6,34.8,80.4,1.34,0.92,2.26,1.20,2.12
Valencia,30,25.2,46.9,38,418,3420,38.0,48,35,40,8,10,82,5,1.26,0.92,2.18,1.05,1.97,43.9,36.4,27.2,63.6,1.15,0.72,1.87,0.96,1.67
Valladolid,32,28.1,45.1,38,418,3420,38.0,34,21,27,7,8,93,4,0.89,0.55,1.45,0.71,1.26,37.1,31.2,22.1,53.3,0.98,0.58,1.56,0.82,1.40
Villarreal,29,28.0,55.6,38,418,3420,38.0,57,33,45,12,13,67,5,1.50,0.87,2.37,1.18,2.05,58.0,48.3,40.5,88.9,1.53,1.07,2.59,1.27,2.34
