Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Arsenal,29,38.0,723,19.03,552,40,41,34,46,10,95,2.50,67,2,7,8,10,1
Aston Villa,24,38.0,839,22.08,601,81,53,39,53,12,86,2.26,61,7,2,6,7,3
Brighton,27,38.0,754,19.84,559,65,33,44,36,17,60,1.58,42,5,1,5,6,1
Burnley,25,38.0,563,14.82,391,66,26,27,37,16,46,1.21,25,6,6,3,4,2
Chelsea,27,38.0,939,24.71,707,82,40,46,47,17,97,2.55,68,7,5,6,10,1
Crystal Palace,24,38.0,546,14.37,376,51,46,17,42,14,70,1.84,45,6,7,4,6,2
Everton,29,38.0,645,16.97,470,66,29,28,42,10,78,2.05,52,9,2,10,5,0
Fulham,28,38.0,702,18.47,515,63,47,28,32,17,47,1.24,33,3,5,2,3,1
Leeds United,23,38.0,812,21.37,614,64,43,43,29,19,108,2.84,79,6,8,8,6,1
Leicester City,27,38.0,762,20.05,555,44,50,37,44,32,111,2.92,79,3,8,5,11,5
Liverpool,28,38.0,936,24.63,709,64,51,52,41,19,94,2.47,66,6,4,12,5,1
Manchester City,24,38.0,986,25.95,719,62,83,47,47,28,138,3.63,95,4,16,11,7,5
Manchester Utd,29,38.0,879,23.13,636,75,45,49,54,20,122,3.21,87,7,6,8,11,3
Newcastle Utd,27,38.0,607,15.97,396,78,40,22,52,19,68,1.79,45,5,4,6,7,1
Sheffield Utd,27,38.0,497,13.08,376,41,30,23,16,11,25,0.66,15,2,2,3,3,0
Southampton,29,38.0,632,16.63,439,55,44,31,45,18,80,2.11,47,7,7,7,9,3
Tottenham,24,38.0,716,18.84,498,53,50,36,57,22,110,2.89,78,6,10,7,6,3
West Brom,30,38.0,503,13.24,355,57,29,21,33,8,57,1.50,42,3,1,3,5,3
West Ham,24,38.0,728,19.16,505,83,31,50,51,8,94,2.47,59,13,0,15,7,0
Wolves,27,38.0,748,19.68,506,71,66,38,46,21,56,1.47,31,4,8,8,5,0
