Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,30,38.0,96,701,255,36.4,18.45,6.71,0.13,0.35,16.5,29,7,10,81.8,74.2,0.11,+14.2,+14.8
Bologna,31,38.0,48,544,163,30.0,14.32,4.29,0.08,0.26,18.2,28,5,6,53.1,48.5,0.09,-5.1,-5.5
Brescia,32,38.0,34,414,138,33.3,10.89,3.63,0.07,0.22,17.0,23,4,4,42.4,39.4,0.10,-8.4,-9.4
Cagliari,33,38.0,50,439,137,31.2,11.55,3.61,0.10,0.34,19.1,15,4,6,41.4,36.7,0.08,+8.6,+9.3
Fiorentina,33,38.0,49,543,169,31.1,14.29,4.45,0.07,0.24,17.4,23,9,11,54.7,46.7,0.09,-5.7,-6.7
Genoa,34,38.0,46,418,142,34.0,11.00,3.74,0.08,0.25,18.6,25,11,16,47.4,35.3,0.09,-1.4,-0.3
Hellas Verona,30,38.0,45,439,146,33.3,11.55,3.84,0.08,0.25,16.5,12,8,9,49.2,42.4,0.10,-4.2,-5.4
Inter,29,38.0,80,616,217,35.2,16.21,5.71,0.11,0.32,16.7,22,10,11,72.3,63.8,0.11,+7.7,+6.2
Juventus,30,38.0,73,667,222,33.3,17.55,5.84,0.09,0.27,18.3,38,13,14,68.7,58.1,0.09,+4.3,+1.9
Lazio,27,38.0,77,564,203,36.0,14.84,5.34,0.11,0.31,17.3,21,15,18,68.4,54.9,0.10,+8.6,+7.1
Lecce,30,38.0,52,511,163,31.9,13.45,4.29,0.08,0.25,18.6,16,11,15,53.9,43.1,0.09,-1.9,-2.1
Milan,32,38.0,60,611,187,30.6,16.08,4.92,0.09,0.28,18.2,24,8,9,59.5,52.8,0.09,+0.5,-0.8
Napoli,25,38.0,60,682,225,33.0,17.95,5.92,0.08,0.24,18.2,17,5,5,62.4,58.6,0.09,-2.4,-3.6
Parma,25,38.0,53,453,145,32.0,11.92,3.82,0.11,0.34,18.5,21,4,6,46.6,42.1,0.09,+6.4,+6.9
Roma,31,38.0,73,632,198,31.3,16.63,5.21,0.10,0.31,17.6,35,12,14,72.6,62.2,0.10,+0.4,-1.2
Sampdoria,31,38.0,48,550,161,29.3,14.47,4.24,0.07,0.24,18.5,23,9,12,51.2,42.0,0.08,-3.2,-3.0
Sassuolo,31,38.0,69,544,192,35.3,14.32,5.05,0.12,0.33,19.2,32,5,6,56.0,51.4,0.10,+13.0,+12.6
SPAL,34,38.0,27,457,114,24.9,12.03,3.00,0.05,0.19,18.5,17,5,7,39.1,33.8,0.07,-12.1,-11.8
Torino,27,38.0,44,437,139,31.8,11.50,3.66,0.08,0.27,17.6,19,7,8,42.4,37.1,0.09,+1.6,-0.1
Udinese,25,38.0,37,476,143,30.0,12.53,3.76,0.08,0.26,17.6,11,0,0,40.6,40.6,0.09,-3.6,-3.6
